timestamp,value,date,hour,weekday
2024-12-10 19:00:00+00:00,48.73,2024-12-10,19,1
2024-12-10 20:00:00+00:00,48.49,2024-12-10,20,1
2024-12-10 21:00:00+00:00,47.2,2024-12-10,21,1
2024-12-10 22:00:00+00:00,46.32,2024-12-10,22,1
2024-12-10 23:00:00+00:00,46.01,2024-12-10,23,1
2024-12-11 00:00:00+00:00,45.97,2024-12-11,0,2
2024-12-11 01:00:00+00:00,46.19,2024-12-11,1,2
2024-12-11 02:00:00+00:00,46.59,2024-12-11,2,2
2024-12-11 03:00:00+00:00,46.74,2024-12-11,3,2
2024-12-11 04:00:00+00:00,46.93,2024-12-11,4,2
2024-12-11 05:00:00+00:00,47.12,2024-12-11,5,2
2024-12-11 06:00:00+00:00,47.1,2024-12-11,6,2
2024-12-11 07:00:00+00:00,50.25,2024-12-11,7,2
2024-12-11 08:00:00+00:00,55.7,2024-12-11,8,2
2024-12-11 09:00:00+00:00,56.07,2024-12-11,9,2
2024-12-11 10:00:00+00:00,52.45,2024-12-11,10,2
2024-12-11 11:00:00+00:00,48.71,2024-12-11,11,2
2024-12-11 12:00:00+00:00,47.75,2024-12-11,12,2
2024-12-11 13:00:00+00:00,42.93,2024-12-11,13,2
2024-12-11 14:00:00+00:00,42.85,2024-12-11,14,2
2024-12-11 15:00:00+00:00,44.95,2024-12-11,15,2
2024-12-11 16:00:00+00:00,45.17,2024-12-11,16,2
2024-12-11 17:00:00+00:00,44.72,2024-12-11,17,2
2024-12-11 18:00:00+00:00,45.33,2024-12-11,18,2
2024-12-11 19:00:00+00:00,48.09,2024-12-11,19,2
2024-12-11 20:00:00+00:00,47.99,2024-12-11,20,2
2024-12-11 21:00:00+00:00,46.83,2024-12-11,21,2
2024-12-11 22:00:00+00:00,46.46,2024-12-11,22,2
2024-12-11 23:00:00+00:00,46.4,2024-12-11,23,2
2024-12-12 00:00:00+00:00,45.81,2024-12-12,0,3
2024-12-12 01:00:00+00:00,45.64,2024-12-12,1,3
2024-12-12 02:00:00+00:00,46.09,2024-12-12,2,3
2024-12-12 03:00:00+00:00,46.0,2024-12-12,3,3
2024-12-12 04:00:00+00:00,45.89,2024-12-12,4,3
2024-12-12 05:00:00+00:00,45.41,2024-12-12,5,3
2024-12-12 06:00:00+00:00,45.15,2024-12-12,6,3
2024-12-12 07:00:00+00:00,47.22,2024-12-12,7,3
2024-12-12 08:00:00+00:00,48.92,2024-12-12,8,3
2024-12-12 09:00:00+00:00,45.65,2024-12-12,9,3
2024-12-12 10:00:00+00:00,46.7,2024-12-12,10,3
2024-12-12 11:00:00+00:00,48.1,2024-12-12,11,3
2024-12-12 12:00:00+00:00,49.42,2024-12-12,12,3
2024-12-12 13:00:00+00:00,50.95,2024-12-12,13,3
2024-12-12 14:00:00+00:00,48.81,2024-12-12,14,3
2024-12-12 15:00:00+00:00,49.47,2024-12-12,15,3
2024-12-12 16:00:00+00:00,49.0,2024-12-12,16,3
2024-12-12 17:00:00+00:00,50.41,2024-12-12,17,3
2024-12-12 18:00:00+00:00,50.86,2024-12-12,18,3
2024-12-12 19:00:00+00:00,50.12,2024-12-12,19,3
2024-12-12 20:00:00+00:00,49.48,2024-12-12,20,3
2024-12-12 21:00:00+00:00,49.76,2024-12-12,21,3
2024-12-12 22:00:00+00:00,49.85,2024-12-12,22,3
2024-12-12 23:00:00+00:00,49.76,2024-12-12,23,3
2024-12-13 00:00:00+00:00,49.8,2024-12-13,0,4
2024-12-13 01:00:00+00:00,49.98,2024-12-13,1,4
2024-12-13 02:00:00+00:00,49.91,2024-12-13,2,4
2024-12-13 03:00:00+00:00,50.12,2024-12-13,3,4
2024-12-13 04:00:00+00:00,49.97,2024-12-13,4,4
2024-12-13 05:00:00+00:00,49.53,2024-12-13,5,4
2024-12-13 06:00:00+00:00,49.14,2024-12-13,6,4
2024-12-13 07:00:00+00:00,50.32,2024-12-13,7,4
2024-12-13 08:00:00+00:00,49.89,2024-12-13,8,4
2024-12-13 09:00:00+00:00,49.66,2024-12-13,9,4
2024-12-13 10:00:00+00:00,49.48,2024-12-13,10,4
2024-12-13 11:00:00+00:00,49.88,2024-12-13,11,4
2024-12-13 12:00:00+00:00,50.4,2024-12-13,12,4
2024-12-13 13:00:00+00:00,50.28,2024-12-13,13,4
2024-12-13 14:00:00+00:00,50.57,2024-12-13,14,4
2024-12-13 15:00:00+00:00,50.85,2024-12-13,15,4
2024-12-13 16:00:00+00:00,51.26,2024-12-13,16,4
2024-12-13 17:00:00+00:00,51.78,2024-12-13,17,4
2024-12-13 18:00:00+00:00,52.3,2024-12-13,18,4
2024-12-13 19:00:00+00:00,52.62,2024-12-13,19,4
2024-12-13 20:00:00+00:00,52.62,2024-12-13,20,4
2024-12-13 21:00:00+00:00,52.78,2024-12-13,21,4
2024-12-13 22:00:00+00:00,53.14,2024-12-13,22,4
2024-12-13 23:00:00+00:00,52.76,2024-12-13,23,4
2024-12-14 00:00:00+00:00,52.34,2024-12-14,0,5
2024-12-14 01:00:00+00:00,51.74,2024-12-14,1,5
2024-12-14 02:00:00+00:00,50.94,2024-12-14,2,5
2024-12-14 03:00:00+00:00,50.08,2024-12-14,3,5
2024-12-14 04:00:00+00:00,49.46,2024-12-14,4,5
2024-12-14 05:00:00+00:00,49.5,2024-12-14,5,5
2024-12-14 06:00:00+00:00,49.15,2024-12-14,6,5
2024-12-14 07:00:00+00:00,48.29,2024-12-14,7,5
2024-12-14 08:00:00+00:00,48.51,2024-12-14,8,5
2024-12-14 09:00:00+00:00,47.84,2024-12-14,9,5
2024-12-14 10:00:00+00:00,47.2,2024-12-14,10,5
2024-12-14 11:00:00+00:00,45.71,2024-12-14,11,5
2024-12-14 12:00:00+00:00,44.69,2024-12-14,12,5
2024-12-14 13:00:00+00:00,44.2,2024-12-14,13,5
2024-12-14 14:00:00+00:00,43.69,2024-12-14,14,5
2024-12-14 15:00:00+00:00,43.43,2024-12-14,15,5
2024-12-14 16:00:00+00:00,43.53,2024-12-14,16,5
2024-12-14 17:00:00+00:00,43.87,2024-12-14,17,5
2024-12-14 18:00:00+00:00,44.31,2024-12-14,18,5
2024-12-14 19:00:00+00:00,44.76,2024-12-14,19,5
2024-12-14 20:00:00+00:00,45.05,2024-12-14,20,5
2024-12-14 21:00:00+00:00,45.43,2024-12-14,21,5
2024-12-14 22:00:00+00:00,45.28,2024-12-14,22,5
2024-12-14 23:00:00+00:00,44.89,2024-12-14,23,5
2024-12-15 00:00:00+00:00,44.57,2024-12-15,0,6
2024-12-15 01:00:00+00:00,44.16,2024-12-15,1,6
2024-12-15 02:00:00+00:00,44.06,2024-12-15,2,6
2024-12-15 03:00:00+00:00,43.8,2024-12-15,3,6
2024-12-15 04:00:00+00:00,43.84,2024-12-15,4,6
2024-12-15 05:00:00+00:00,43.71,2024-12-15,5,6
2024-12-15 06:00:00+00:00,43.65,2024-12-15,6,6
2024-12-15 07:00:00+00:00,43.37,2024-12-15,7,6
2024-12-15 08:00:00+00:00,43.57,2024-12-15,8,6
2024-12-15 09:00:00+00:00,43.68,2024-12-15,9,6
2024-12-15 10:00:00+00:00,43.81,2024-12-15,10,6
2024-12-15 11:00:00+00:00,43.66,2024-12-15,11,6
2024-12-15 12:00:00+00:00,42.92,2024-12-15,12,6
2024-12-15 13:00:00+00:00,42.72,2024-12-15,13,6
2024-12-15 14:00:00+00:00,43.12,2024-12-15,14,6
2024-12-15 15:00:00+00:00,43.52,2024-12-15,15,6
2024-12-15 16:00:00+00:00,43.9,2024-12-15,16,6
2024-12-15 17:00:00+00:00,44.19,2024-12-15,17,6
2024-12-15 18:00:00+00:00,44.57,2024-12-15,18,6
2024-12-15 19:00:00+00:00,45.01,2024-12-15,19,6
2024-12-15 20:00:00+00:00,45.32,2024-12-15,20,6
2024-12-15 21:00:00+00:00,45.64,2024-12-15,21,6
2024-12-15 22:00:00+00:00,45.69,2024-12-15,22,6
2024-12-15 23:00:00+00:00,45.85,2024-12-15,23,6
2024-12-16 00:00:00+00:00,45.81,2024-12-16,0,0
2024-12-16 01:00:00+00:00,45.66,2024-12-16,1,0
2024-12-16 02:00:00+00:00,45.56,2024-12-16,2,0
